"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.537062208E0,-3.416257672E-2,-7.545247078E-3,8.954484522E-2
3.547047208E0,-3.834492562E-2,9.375717938E-3,1.150229180E-1
3.557032208E0,-7.486164618E-2,1.314044774E-2,1.300105011E-1
3.567017208E0,-8.298375763E-2,-6.697985530E-4,1.487443954E-1
3.577003208E0,-7.118201165E-2,1.007095188E-2,1.439596188E-1
3.586988208E0,-3.648183826E-2,1.181926936E-2,1.027022499E-1
3.596973208E0,-4.300954191E-2,-1.385468513E-2,7.949055791E-2
3.606959208E0,-3.461319605E-2,-6.907900572E-3,6.402876556E-2
3.616944208E0,-2.995990874E-2,7.348195910E-3,5.061993062E-2
3.626929208E0,-3.940511718E-3,2.077340305E-2,4.527732968E-2
3.636915208E0,1.628533613E-2,3.332328200E-3,4.964695394E-2
3.646900208E0,7.607611287E-3,-3.183896631E-2,7.718558550E-2
3.656885208E0,-7.537791878E-4,2.923403174E-2,1.349461359E-1
3.666870208E0,2.355660461E-3,4.159066021E-2,1.510148692E-1
3.676856208E0,-4.583266899E-3,5.064653546E-2,1.282469809E-1
3.686841208E0,1.242692297E-2,5.264949918E-2,7.812464833E-2
3.696826208E0,3.248336602E-2,4.726830661E-2,5.116079807E-2
3.706812208E0,2.281197997E-2,2.777368963E-2,6.696933031E-2
3.716797208E0,-5.098388325E-3,2.370929003E-2,8.887826264E-2
3.726782208E0,-2.996465961E-2,1.677449226E-2,1.088038194E-1
3.736768208E0,-3.733447194E-3,5.022378176E-2,1.483193028E-1
3.746753208E0,1.734691640E-2,6.625713944E-2,1.502477145E-1
3.756738208E0,-2.430281896E-2,8.033226460E-2,1.438052523E-1
